"","image_name","ground_truth_mask_name","cell_count","blur_level","stain"
"1","SIMCEPImages_H01_C1_F23_s01_w1","SIMCEPImages_A01_C1_F1_s01_w1","1","23","1"
"2","SIMCEPImages_H01_C1_F23_s01_w2","SIMCEPImages_A01_C1_F1_s01_w2","1","23","2"
"3","SIMCEPImages_H01_C1_F23_s02_w1","SIMCEPImages_A01_C1_F1_s02_w1","1","23","1"
"4","SIMCEPImages_H01_C1_F23_s02_w2","SIMCEPImages_A01_C1_F1_s02_w2","1","23","2"
"5","SIMCEPImages_H01_C1_F23_s03_w1","SIMCEPImages_A01_C1_F1_s03_w1","1","23","1"
"6","SIMCEPImages_H01_C1_F23_s03_w2","SIMCEPImages_A01_C1_F1_s03_w2","1","23","2"
"7","SIMCEPImages_H01_C1_F23_s04_w1","SIMCEPImages_A01_C1_F1_s04_w1","1","23","1"
"8","SIMCEPImages_H01_C1_F23_s04_w2","SIMCEPImages_A01_C1_F1_s04_w2","1","23","2"
"9","SIMCEPImages_H01_C1_F23_s05_w1","SIMCEPImages_A01_C1_F1_s05_w1","1","23","1"
"10","SIMCEPImages_H01_C1_F23_s05_w2","SIMCEPImages_A01_C1_F1_s05_w2","1","23","2"
"11","SIMCEPImages_H01_C1_F23_s06_w1","SIMCEPImages_A01_C1_F1_s06_w1","1","23","1"
"12","SIMCEPImages_H01_C1_F23_s06_w2","SIMCEPImages_A01_C1_F1_s06_w2","1","23","2"
"13","SIMCEPImages_H01_C1_F23_s07_w1","SIMCEPImages_A01_C1_F1_s07_w1","1","23","1"
"14","SIMCEPImages_H01_C1_F23_s07_w2","SIMCEPImages_A01_C1_F1_s07_w2","1","23","2"
"15","SIMCEPImages_H01_C1_F23_s08_w1","SIMCEPImages_A01_C1_F1_s08_w1","1","23","1"
"16","SIMCEPImages_H01_C1_F23_s08_w2","SIMCEPImages_A01_C1_F1_s08_w2","1","23","2"
"17","SIMCEPImages_H01_C1_F23_s09_w1","SIMCEPImages_A01_C1_F1_s09_w1","1","23","1"
"18","SIMCEPImages_H01_C1_F23_s09_w2","SIMCEPImages_A01_C1_F1_s09_w2","1","23","2"
"19","SIMCEPImages_H01_C1_F23_s10_w1","SIMCEPImages_A01_C1_F1_s10_w1","1","23","1"
"20","SIMCEPImages_H01_C1_F23_s10_w2","SIMCEPImages_A01_C1_F1_s10_w2","1","23","2"
"21","SIMCEPImages_H01_C1_F23_s11_w1","SIMCEPImages_A01_C1_F1_s11_w1","1","23","1"
"22","SIMCEPImages_H01_C1_F23_s11_w2","SIMCEPImages_A01_C1_F1_s11_w2","1","23","2"
"23","SIMCEPImages_H01_C1_F23_s12_w1","SIMCEPImages_A01_C1_F1_s12_w1","1","23","1"
"24","SIMCEPImages_H01_C1_F23_s12_w2","SIMCEPImages_A01_C1_F1_s12_w2","1","23","2"
"25","SIMCEPImages_H01_C1_F23_s13_w1","SIMCEPImages_A01_C1_F1_s13_w1","1","23","1"
"26","SIMCEPImages_H01_C1_F23_s13_w2","SIMCEPImages_A01_C1_F1_s13_w2","1","23","2"
"27","SIMCEPImages_H01_C1_F23_s14_w1","SIMCEPImages_A01_C1_F1_s14_w1","1","23","1"
"28","SIMCEPImages_H01_C1_F23_s14_w2","SIMCEPImages_A01_C1_F1_s14_w2","1","23","2"
"29","SIMCEPImages_H01_C1_F23_s15_w1","SIMCEPImages_A01_C1_F1_s15_w1","1","23","1"
"30","SIMCEPImages_H01_C1_F23_s15_w2","SIMCEPImages_A01_C1_F1_s15_w2","1","23","2"
"31","SIMCEPImages_H01_C1_F23_s16_w1","SIMCEPImages_A01_C1_F1_s16_w1","1","23","1"
"32","SIMCEPImages_H01_C1_F23_s16_w2","SIMCEPImages_A01_C1_F1_s16_w2","1","23","2"
"33","SIMCEPImages_H01_C1_F23_s17_w1","SIMCEPImages_A01_C1_F1_s17_w1","1","23","1"
"34","SIMCEPImages_H01_C1_F23_s17_w2","SIMCEPImages_A01_C1_F1_s17_w2","1","23","2"
"35","SIMCEPImages_H01_C1_F23_s18_w1","SIMCEPImages_A01_C1_F1_s18_w1","1","23","1"
"36","SIMCEPImages_H01_C1_F23_s18_w2","SIMCEPImages_A01_C1_F1_s18_w2","1","23","2"
"37","SIMCEPImages_H01_C1_F23_s19_w1","SIMCEPImages_A01_C1_F1_s19_w1","1","23","1"
"38","SIMCEPImages_H01_C1_F23_s19_w2","SIMCEPImages_A01_C1_F1_s19_w2","1","23","2"
"39","SIMCEPImages_H01_C1_F23_s20_w1","SIMCEPImages_A01_C1_F1_s20_w1","1","23","1"
"40","SIMCEPImages_H01_C1_F23_s20_w2","SIMCEPImages_A01_C1_F1_s20_w2","1","23","2"
"41","SIMCEPImages_H01_C1_F23_s21_w1","SIMCEPImages_A01_C1_F1_s21_w1","1","23","1"
